City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mahébourg,-20.4081,57.7,78.8,83,75,17.27,MU,1619290833
Kapaa,22.0752,-159.319,75.99,73,40,16.11,US,1619290833
Aykhal,66.0,111.5,20.03,96,100,6.24,RU,1619290834
Japura,-0.3167,102.35,73.47,98,89,1.5,ID,1619290834
Tuktoyaktuk,69.4541,-133.0374,23.0,80,40,6.91,CA,1619290834
Henties Bay,-22.116,14.2845,65.5,80,0,5.23,NA,1619290835
Ponta Porã,-22.5361,-55.7256,80.6,50,0,11.5,BR,1619290835
Bluff,-46.6,168.3333,48.0,86,100,5.01,NZ,1619290800
Grants Pass,42.439,-123.3284,57.0,58,90,9.22,US,1619290835
Sulangan,11.1373,123.7228,81.1,78,100,6.76,PH,1619290836
Lata,40.1629,-8.3327,64.99,88,78,4.38,PT,1619290836
Agadez,19.75,10.25,91.44,9,2,7.36,NE,1619290836
Dogondoutchi,13.6393,4.0287,95.31,9,100,5.5,NE,1619290836
East London,-33.0153,27.9116,64.4,88,0,5.75,ZA,1619290837
Vao,-22.6667,167.4833,75.97,68,100,13.02,NC,1619290837
Port Alfred,-33.5906,26.891,67.14,85,53,8.88,ZA,1619290837
Ancud,-41.8697,-73.8203,62.01,72,75,11.5,CL,1619290838
Manicoré,-5.8092,-61.3003,85.6,72,98,3.76,BR,1619290838
Asău,46.4333,26.4,46.0,48,50,3.56,RO,1619290838
Hithadhoo,-0.6,73.0833,83.25,69,13,7.29,MV,1619290839
Carnarvon,-24.8667,113.6333,62.6,94,0,6.91,AU,1619290839
Marsabit,2.3284,37.9899,69.13,71,100,10.96,KE,1619290839
Doka,13.5167,35.7667,91.17,22,13,8.25,SD,1619290840
Daru,-9.0763,143.2092,77.2,91,100,7.34,PG,1619290840
Kaitangata,-46.2817,169.8464,44.01,88,23,3.0,NZ,1619290840
Nicoya,10.1483,-85.452,91.4,43,20,8.05,CR,1619290840
Saskylakh,71.9167,114.0833,31.57,92,96,12.03,RU,1619290841
Lebu,-37.6167,-73.65,57.58,69,0,17.43,CL,1619290841
Griffith,41.5284,-87.4237,54.0,87,90,1.32,US,1619290841
Nikolskoye,59.7035,30.7861,39.2,70,20,4.47,RU,1619290841
Namatanai,-3.6667,152.4333,78.49,81,36,4.07,PG,1619290842
Haines Junction,60.7522,-137.5108,42.8,39,15,2.3,CA,1619290842
Araouane,18.9048,-3.5265,93.78,10,58,5.23,ML,1619290842
Port Shepstone,-30.7414,30.455,68.58,85,15,9.48,ZA,1619290843
Bumbuna,9.05,-11.7333,83.61,61,74,2.46,SL,1619290843
Tūkrah,32.5341,20.5791,61.48,90,43,13.56,LY,1619290843
Pevek,69.7008,170.3133,19.22,86,100,2.77,RU,1619290843
Poltavka,54.3663,71.7632,44.64,42,100,12.57,RU,1619290844
Pochinki,54.6988,44.8668,40.01,86,100,15.64,RU,1619290844
Faya,18.3851,42.4509,59.0,72,75,16.11,SA,1619290844
Verāval,20.9,70.3667,80.98,80,100,12.95,IN,1619290845
Praia,14.9215,-23.5087,75.2,57,75,19.57,CV,1619290845
Umluj,25.0213,37.2685,83.07,50,0,5.55,SA,1619290845
Longyearbyen,78.2186,15.6401,26.6,63,75,3.44,SJ,1619290846
Rikitea,-23.1203,-134.9692,78.58,72,100,16.37,PF,1619290831
Uvinza,-5.1036,30.3911,68.49,90,96,2.33,TZ,1619290846
Torbay,47.6666,-52.7314,53.6,35,40,25.32,CA,1619290846
Matara,5.9485,80.5353,77.85,88,96,3.83,LK,1619290847
Katsuura,35.1333,140.3,60.8,63,20,10.36,JP,1619290847
Cabo San Lucas,22.8909,-109.9124,84.2,41,1,11.5,MX,1619290766
Bredasdorp,-34.5322,20.0403,53.6,87,96,5.75,ZA,1619290847
Thompson,55.7435,-97.8558,24.8,50,75,2.3,CA,1619290848
Faanui,-16.4833,-151.75,80.44,73,100,9.69,PF,1619290848
Ahipara,-35.1667,173.1667,58.42,80,27,8.41,NZ,1619290848
Khovd,48.0056,91.6419,26.13,21,16,15.86,MN,1619290841
Perelyub,51.8667,50.3667,49.62,87,88,11.12,RU,1619290849
Sur,22.5667,59.5289,86.83,39,1,11.95,OM,1619290849
Chui,-33.6971,-53.4616,71.38,72,100,6.38,UY,1619290849
Puerto Ayora,-0.7393,-90.3518,80.6,74,75,16.11,EC,1619290850
Mackenzie,55.2999,-123.1698,37.4,41,1,6.91,CA,1619290850
Poum,-20.2333,164.0167,78.35,81,100,15.23,NC,1619290850
Necochea,-38.5473,-58.7368,64.0,70,85,11.01,AR,1619290850
Bull Savanna,17.8868,-77.5902,82.69,61,16,16.91,JM,1619290851
Tongliao,43.6125,122.2653,40.1,43,18,5.23,CN,1619290851
Weirton,40.419,-80.5895,60.01,41,1,10.36,US,1619290851
Morondava,-20.2833,44.2833,78.76,78,0,12.06,MG,1619290851
Clyde River,70.4692,-68.5914,17.6,93,75,9.22,CA,1619290852
Narsaq,60.9167,-46.05,55.4,33,75,25.32,GL,1619290840
Talnakh,69.4865,88.3972,30.42,97,100,13.71,RU,1619290852
Sanāwad,22.1833,76.0667,82.4,11,40,9.22,IN,1619290852
Nyurba,63.2842,118.3319,30.36,92,100,2.71,RU,1619290853
Kavaratti,10.5669,72.642,84.06,75,22,7.63,IN,1619290853
Tirlyanskiy,54.2109,58.5806,37.08,98,100,4.56,RU,1619290854
Prince Albert,53.2001,-105.7677,32.0,40,75,2.3,CA,1619290854
Vanimo,-2.6741,141.3028,76.82,87,100,4.41,PG,1619290854
Yerbogachën,61.2767,108.0108,29.05,96,100,1.5,RU,1619290854
Fallon,39.4735,-118.7774,62.6,20,75,8.05,US,1619290855
Ribeira Grande,38.5167,-28.7,60.8,67,75,20.71,PT,1619290829
Yulara,-25.2406,130.9889,53.6,58,8,6.91,AU,1619290855
Upernavik,72.7868,-56.1549,34.2,85,11,5.91,GL,1619290855
Santa Cruz de la Sierra,-17.8,-63.1667,68.0,94,90,2.3,BO,1619290800
Khatanga,71.9667,102.5,32.18,97,100,16.82,RU,1619290856
Yangi Marg`ilon,40.4272,71.7189,64.4,42,95,4.61,UZ,1619290856
Saint George,37.1041,-113.5841,79.0,18,100,1.01,US,1619290788
Assiut,27.181,31.1837,80.6,34,0,11.5,EG,1619290856
Egvekinot,66.3167,-179.1667,21.99,91,80,1.07,RU,1619290857
Puerto Baquerizo Moreno,-0.9,-89.6,84.2,70,40,12.66,EC,1619290857
Dunedin,-45.8742,170.5036,48.0,82,100,7.0,NZ,1619290806
Kattivākkam,13.2167,80.3167,84.2,79,40,4.61,IN,1619290857
Jamestown,42.097,-79.2353,63.0,30,1,13.8,US,1619290858
Marystown,47.1666,-55.1483,40.98,82,94,18.21,CA,1619290858
Togur,58.3631,82.8265,28.71,93,88,3.13,RU,1619290858
Otjiwarongo,-20.4637,16.6477,66.6,31,49,8.63,NA,1619290859
Ilulissat,69.2167,-51.1,41.0,60,40,6.91,GL,1619290859
Mar del Plata,-38.0023,-57.5575,66.2,59,40,14.97,AR,1619290607
Vila Franca do Campo,37.7167,-25.4333,59.0,82,40,16.11,PT,1619290859
Havre-St-Pierre,50.2334,-63.5986,44.6,70,20,24.16,CA,1619290860
Santiago,-33.4569,-70.6483,69.8,37,0,4.61,CL,1619290635
Hong Kong,22.2855,114.1577,77.0,87,74,7.4,HK,1619290635
Dwārka,22.2394,68.9678,81.72,78,9,13.98,IN,1619290860
Oistins,13.0667,-59.5333,84.2,58,40,19.57,BB,1619290860
Banjar,-8.19,114.9675,78.8,89,20,5.75,ID,1619290861
Ponta do Sol,32.6667,-17.1,66.2,59,20,4.61,PT,1619290861
Dunbar,38.3606,-81.7374,57.99,58,90,8.05,US,1619290861
Yei,4.095,30.6779,69.01,95,100,8.25,SS,1619290862
Fortuna,40.5982,-124.1573,54.0,87,75,10.36,US,1619290857
Lompoc,34.6391,-120.4579,57.99,67,69,6.91,US,1619290862
George Town,5.4112,100.3354,82.0,89,40,3.44,MY,1619290862
Baykit,61.67,96.37,32.47,96,100,2.55,RU,1619290863
Deputatsky,69.3,139.9,7.32,85,100,3.4,RU,1619290863
Tondano,1.3038,124.9112,75.2,94,20,1.28,ID,1619290863
Hervey Bay,-25.2986,152.8535,60.01,86,0,1.01,AU,1619290864
Vengerovo,55.6848,76.7471,40.1,55,100,5.99,RU,1619290864
Tazovsky,67.4667,78.7,31.03,92,100,7.76,RU,1619290864
Vryheid,-27.7695,30.7917,52.95,72,10,1.74,ZA,1619290865
Bogo,11.0517,124.0055,78.28,83,100,4.36,PH,1619290865
Inverness,57.4791,-4.224,50.0,76,20,9.22,GB,1619290865
Masindi,1.6744,31.715,64.76,93,78,0.78,UG,1619290865
Gorontalo,0.5412,123.0595,74.1,90,30,2.39,ID,1619290866
La Ronge,55.1001,-105.2842,26.6,46,100,5.75,CA,1619290866
Ikovka,55.6089,64.9375,43.34,47,100,11.9,RU,1619290867
Hambantota,6.1241,81.1185,77.0,100,20,2.3,LK,1619290867
Orlik,52.5178,99.825,22.6,91,100,1.1,RU,1619290867
Guerrero Negro,27.9769,-114.0611,67.15,57,3,15.05,MX,1619290868
Storm Lake,42.6411,-95.2097,51.8,40,1,19.57,US,1619290868
Zonguldak,41.25,31.8333,46.15,96,100,3.29,TR,1619290868
Arraial do Cabo,-22.9661,-42.0278,78.8,73,20,12.66,BR,1619290840
Paris,48.8534,2.3488,62.01,39,0,13.8,FR,1619290861
Tiksi,71.6872,128.8694,30.45,93,100,11.12,RU,1619290869
Kiama,-34.6833,150.8667,52.0,78,0,1.99,AU,1619290869
Solnechnyy,50.7214,136.6319,26.6,77,96,7.78,RU,1619290869
The Valley,18.217,-63.0578,86.0,65,40,13.8,AI,1619290870
Kindersley,51.4668,-109.1682,39.2,26,40,10.36,CA,1619290781
Port Macquarie,-31.4333,152.9167,53.01,90,0,3.0,AU,1619290870
Baturaja,-4.1333,104.1667,73.02,91,100,2.46,ID,1619290870
Rio Claro,-22.4114,-47.5614,84.2,32,0,8.05,BR,1619290871
Djambala,-2.5447,14.7533,68.9,87,99,1.43,CG,1619290871
Lobito,-12.3481,13.5456,81.41,85,100,1.97,AO,1619290871
Bismarck,46.8083,-100.7837,48.2,29,20,11.5,US,1619290818
Buala,-8.145,159.5921,79.41,82,76,2.8,SB,1619290872
Denizli Province,37.8402,29.0698,60.8,51,75,9.22,TR,1619290872
Paraná,-31.732,-60.5238,75.99,61,56,5.99,AR,1619290742
Kouango,4.9934,19.9619,74.01,86,30,5.21,CF,1619290872
Nūh,28.1167,77.0167,78.8,27,0,3.44,IN,1619290873
Pangnirtung,66.1451,-65.7125,33.8,75,1,11.5,CA,1619290873
Pacific Grove,36.6177,-121.9166,60.8,55,40,6.91,US,1619290873
Ola,59.5833,151.2833,15.64,67,100,15.19,RU,1619290874
Luanda,-8.8368,13.2343,78.8,89,40,4.61,AO,1619290809
Sibay,52.7181,58.6658,41.67,86,100,3.15,RU,1619290874
Nuuk,64.1835,-51.7216,41.0,65,20,6.91,GL,1619290874
Tehachapi,35.1322,-118.449,61.0,47,67,8.01,US,1619290875
Rocha,-34.4833,-54.3333,65.89,90,100,7.29,UY,1619290875
Hattem,52.475,6.0639,45.0,65,12,9.73,NL,1619290875
Canchungo,12.0672,-16.0333,87.8,58,0,9.22,GW,1619290876
Lakatoro,-16.0999,167.4164,80.19,83,73,10.8,VU,1619290876
Lavrentiya,65.5833,-171.0,28.24,88,93,1.28,RU,1619290876
Kilifi,-3.6305,39.8499,82.4,89,75,6.91,KE,1619290877
Newport,51.5877,-2.9984,59.0,44,0,14.97,GB,1619290622
Makakilo City,21.3469,-158.0858,78.8,69,1,6.91,US,1619290877
Galle,6.0367,80.217,80.38,81,100,3.56,LK,1619290877
Klyuchi,52.2667,79.1667,39.87,43,0,2.35,RU,1619290878
Grand Gaube,-20.0064,57.6608,79.0,82,100,10.0,MU,1619290878
Caramay,10.1815,119.236,77.14,85,100,3.33,PH,1619290878
Esperance,-33.8667,121.9,59.0,72,44,14.97,AU,1619290879
Coyhaique,-45.5752,-72.0662,55.4,67,75,3.44,CL,1619290870
Kuminskiy,58.6667,66.5667,42.62,59,100,5.93,RU,1619290879
Turukhansk,65.8167,87.9833,31.82,99,100,5.23,RU,1619290879
Taloqan,36.7361,69.5345,61.39,36,19,3.89,AF,1619290880
Westport,41.1415,-73.3579,69.01,30,1,16.11,US,1619290880
Bethel,41.3712,-73.414,70.0,23,1,8.05,US,1619290880
Dourbali,11.8091,15.8632,85.19,46,99,14.05,TD,1619290880
Shingū,33.7333,135.9833,53.28,88,5,4.65,JP,1619290881
Mayo,38.8876,-76.5119,64.0,48,1,10.36,US,1619290881
Amalāpuram,16.5833,82.0167,79.21,86,0,1.19,IN,1619290881
Byron Bay,-28.65,153.6167,53.01,100,100,5.46,AU,1619290591
Teya,60.3778,92.6267,33.01,98,100,1.41,RU,1619290882
Tiznit Province,29.5833,-9.5,60.39,63,3,9.91,MA,1619290882
Kirs,59.3388,52.2447,42.55,93,100,8.37,RU,1619290882
Boende,-0.2167,20.8667,73.06,90,67,3.02,CD,1619290882
Halifax,44.6453,-63.5724,64.0,27,22,13.8,CA,1619290883
Tsimmerbude,54.675,20.1347,37.99,80,40,8.95,RU,1619290883
Maraã,-1.8333,-65.3667,88.93,58,63,5.77,BR,1619290883
Tura,25.5198,90.2201,75.25,35,100,3.51,IN,1619290884
Shimoda,34.6667,138.95,52.0,82,16,5.01,JP,1619290884
Fairbanks,64.8378,-147.7164,48.2,42,1,4.61,US,1619290645
San Cristobal,7.7669,-72.225,89.6,55,40,13.8,VE,1619290884
Jizan,17.3333,42.6667,87.8,40,20,23.02,SA,1619290885
Xinyang,32.1228,114.0656,54.95,94,100,10.69,CN,1619290885
Cherskiy,68.75,161.3,17.47,95,95,10.33,RU,1619290886
Bilibino,68.0546,166.4372,23.54,95,100,1.32,RU,1619290886
Opuwo,-18.0607,13.84,73.15,39,81,3.27,NA,1619290886
Andenes,69.3143,16.1194,35.01,69,20,11.5,NO,1619290886
Pisco,-13.7,-76.2167,70.0,78,0,10.36,PE,1619290887
Mayumba,-3.432,10.6554,79.5,85,100,5.03,GA,1619290887
Atuona,-9.8,-139.0333,80.74,72,0,20.49,PF,1619290876
Pedasí,7.5333,-80.0333,84.43,64,96,11.48,PA,1619290888
East Haddam,41.4532,-72.4612,71.01,21,1,13.8,US,1619290888
Vila Velha,-20.3297,-40.2925,82.0,65,20,11.5,BR,1619290888
Majene,-3.5403,118.9707,77.41,85,81,3.47,ID,1619290888
Horqueta,-23.3428,-57.0597,83.12,49,100,5.21,PY,1619290889
Guarapari,-20.6667,-40.4975,82.0,65,20,11.5,BR,1619290889
Laas,46.6166,10.7002,66.2,43,0,3.44,IT,1619290889
Bengkulu,-3.8004,102.2655,75.4,89,100,4.03,ID,1619290890
Kalabo,-14.97,22.6814,71.69,45,51,6.55,ZM,1619290890
Severobaykal'sk,55.65,109.3167,34.59,76,100,4.68,RU,1619290890
Nanortalik,60.1432,-45.2371,41.86,74,100,8.1,GL,1619290890
Fernie,49.5,-115.0687,33.8,86,100,4.61,CA,1619290628
Kashgar,39.4547,75.9797,68.0,7,98,15.66,CN,1619290891
Collie,-33.3667,116.15,52.0,89,0,1.25,AU,1619290891
Puri,19.8,85.85,82.4,83,20,5.75,IN,1619290891
Khuzhir,53.1939,107.3397,33.44,78,100,6.2,RU,1619290892
Sijunjung,-0.6876,100.9537,72.14,97,100,1.97,ID,1619290892
Leningradskiy,69.3833,178.4167,22.5,91,100,5.12,RU,1619290892
Sydney,-33.8679,151.2073,55.4,62,0,9.22,AU,1619290733
West Plains,36.7281,-91.8524,57.2,82,90,11.5,US,1619290892
City of San Pedro,14.35,121.0167,80.6,83,20,3.31,PH,1619290893
Kirkuk,35.4681,44.3922,75.72,14,38,5.88,IQ,1619290893
Chitose,42.8194,141.6522,42.8,93,75,13.8,JP,1619290894
Creel,27.75,-107.6333,70.83,5,0,9.48,MX,1619290894
San Jose,37.3394,-121.895,66.0,49,92,3.4,US,1619290637
Xai-Xai,-25.0519,33.6442,70.09,81,72,8.93,MZ,1619290894
Kruisfontein,-34.0033,24.7314,60.01,92,100,1.99,ZA,1619290895
Cuamba,-14.8031,36.5372,70.27,77,83,2.37,MZ,1619290895
Pouembout,-21.1333,164.9,73.8,91,100,6.55,NC,1619290895
Bathsheba,13.2167,-59.5167,84.2,58,40,19.57,BB,1619290867
Corinth,37.9407,22.9573,55.99,78,67,1.99,GR,1619290896
Chicama,-7.8447,-79.1469,66.2,82,75,13.8,PE,1619290896
Tuatapere,-46.1333,167.6833,48.0,88,100,4.0,NZ,1619290897
Warrington,53.3925,-2.5802,62.6,42,15,12.66,GB,1619290897
Mount Gambier,-37.8333,140.7667,50.0,100,75,5.75,AU,1619290897
Kieta,-6.2167,155.6333,78.64,82,52,0.56,PG,1619290897
Qaanaaq,77.484,-69.3632,27.73,69,93,6.49,GL,1619290898
La Paz,-16.5,-68.15,59.0,36,20,20.71,BO,1619290686
Mettupalayam,11.3,76.95,80.6,83,40,2.3,IN,1619290898
Rockhampton,-23.3833,150.5,68.0,77,77,6.91,AU,1619290814
Erenhot,43.6475,111.9767,55.06,39,100,15.57,CN,1619290899
Manga,11.6636,-1.0731,98.15,18,100,3.31,BF,1619290899
Batangafo,7.3008,18.2833,75.09,70,100,4.0,CF,1619290899
Ifanadiana,-21.3,47.6333,66.04,99,81,1.05,MG,1619290900
Ambon City,-3.6954,128.1814,77.0,94,40,5.75,ID,1619290900
Atar,20.5169,-13.0499,92.48,10,0,12.3,MR,1619290900
Hailar,49.2,119.7,39.4,28,100,3.94,CN,1619290900
Moba,33.2288,105.0179,46.09,82,100,2.82,CN,1619290901
Mossamedes,-15.1961,12.1522,79.23,75,0,7.92,AO,1619290901
Norman Wells,65.282,-126.8329,33.8,47,75,5.75,CA,1619290901
Zhigansk,66.7697,123.3711,33.03,98,100,9.71,RU,1619290902
Arlit,18.7369,7.3853,92.71,7,4,5.28,NE,1619290902
Mahon,39.8885,4.2658,59.0,72,0,5.75,ES,1619290902
Flinders,-34.5833,150.8552,52.0,80,0,1.01,AU,1619290902
Amazar,53.858,120.875,31.84,64,92,1.19,RU,1619290903
Rawson,-43.3002,-65.1023,60.51,45,14,0.74,AR,1619290903
Coquimbo,-29.9533,-71.3436,64.4,68,0,13.8,CL,1619290903
Tuy Hoa,13.0833,109.3,78.08,84,11,2.82,VN,1619290904
Hasaki,35.7333,140.8333,50.0,93,20,4.61,JP,1619290904
Oskemen,49.9565,82.6119,23.0,54,1,2.24,KZ,1619290904
Abu Samrah,35.3029,37.1841,74.19,40,96,9.31,SY,1619290904
Sambava,-14.2667,50.1667,76.06,87,28,10.31,MG,1619290905
Moree,-29.4667,149.85,44.6,76,0,3.44,AU,1619290905
Qandala,11.472,49.8728,86.0,64,76,6.13,SO,1619290905
Provideniya,64.3833,-173.3,35.51,83,99,0.92,RU,1619290906
Zapolyarnyy,69.4154,30.8136,32.0,100,90,13.8,RU,1619290906
Kuningan,-6.9758,108.4831,68.2,94,88,4.56,ID,1619290906
Ayorou,14.7308,0.9174,95.95,5,5,9.1,NE,1619290906
Sistranda,63.7256,8.834,37.4,75,20,13.8,NO,1619290907
Huilong,31.8111,121.655,64.99,94,100,6.8,CN,1619290907
Bushehr,28.9684,50.8385,77.0,73,26,4.61,IR,1619290907
Balkhash,46.844,74.9804,44.51,43,100,14.23,KZ,1619290908
Dodola,6.9833,39.1833,56.21,86,98,4.25,ET,1619290908
Bacolod City,10.6667,122.95,77.97,87,100,7.07,PH,1619290908
Mafeteng,-29.823,27.2374,49.95,18,11,2.37,LS,1619290909
Harper,4.375,-7.7169,82.33,78,92,10.07,LR,1619290909
Sioux Lookout,50.1001,-91.917,33.8,40,75,9.22,CA,1619290909
Pochutla,15.7432,-96.4661,91.0,51,40,17.27,MX,1619290909
Sobolevo,54.4299,31.8996,35.01,77,95,10.49,RU,1619290910
Shakawe,-18.3667,21.85,72.12,33,95,2.06,BW,1619290910
Mizque,-17.941,-65.3402,72.28,52,77,10.96,BO,1619290911
Tisul',55.7611,88.3122,34.25,96,100,4.94,RU,1619290911
Marawi,7.9986,124.2928,75.99,90,91,5.99,PH,1619290911
Innisfail,-17.5333,146.0333,73.9,95,100,6.85,AU,1619290768
Whitianga,-36.8333,175.7,52.0,97,6,1.01,NZ,1619290911
Korem,12.5058,39.5228,63.54,42,100,7.47,ET,1619290912
Jungapeo de Juárez,19.45,-100.4833,87.21,17,100,7.83,MX,1619290912
Inhambane,-23.865,35.3833,71.96,79,0,8.16,MZ,1619290912
Nyagan,62.1406,65.3936,42.33,94,100,3.18,RU,1619290913
Raymondville,26.4815,-97.7831,96.8,23,1,10.36,US,1619290913
Găgeşti,46.3333,27.9667,50.18,59,100,7.43,RO,1619290913
Miyako,39.6367,141.9525,51.6,65,100,2.66,JP,1619290913
Havøysund,70.9963,24.6622,30.2,80,75,11.5,NO,1619290914
Mariental,-24.6333,17.9667,72.46,19,0,11.54,NA,1619290914
Grindavik,63.8424,-22.4338,44.6,93,90,23.02,IS,1619290890
Guano,-1.5833,-78.6333,77.0,69,75,3.44,EC,1619290914
Raudeberg,61.9875,5.1352,37.99,72,68,16.75,NO,1619290915
Gonaïves,19.45,-72.6833,87.28,53,32,9.78,HT,1619290915
Rāwah,34.4816,41.9093,83.03,14,69,5.88,IQ,1619290915
Aljezur,37.3191,-8.8033,61.39,87,42,10.87,PT,1619290916
Portland,45.5234,-122.6762,50.0,76,90,3.44,US,1619290338
Independence,39.0911,-94.4155,66.0,63,1,16.11,US,1619290916
Coruripe,-10.1256,-36.1756,82.4,67,18,9.75,BR,1619290916
Dakar,14.6937,-17.4441,71.6,83,20,13.8,SN,1619290917
Hajdúnánás,47.85,21.4333,51.8,50,0,3.44,HU,1619290917
Dingle,10.9995,122.6711,76.06,85,100,1.12,PH,1619290809
Carutapera,-1.195,-46.02,81.97,78,100,5.79,BR,1619290851
Iranduba,-3.2847,-60.1861,84.2,74,40,5.75,BR,1619290918
San Quintín,30.4833,-115.95,64.09,66,15,16.82,MX,1619290738
São João da Barra,-21.6403,-41.0511,86.0,51,40,4.61,BR,1619290918
Baní,18.2833,-70.3333,86.0,89,75,14.23,DO,1619290918
Kukuna,9.4,-12.6667,85.64,50,5,11.68,SL,1619290919
Don Luan,11.5333,106.9167,76.69,90,44,2.66,VN,1619290919
Weinan,34.5036,109.5089,53.6,87,40,8.95,CN,1619290919
Ningbo,29.8782,121.5495,66.99,94,100,2.24,CN,1619290919
Gurupá,-1.405,-51.64,81.9,84,96,3.06,BR,1619290920
Kailua,21.4022,-157.7394,78.8,69,40,12.66,US,1619290920
Srednekolymsk,67.45,153.6833,11.3,95,100,8.63,RU,1619290857
Coahuayana Viejo,18.7333,-103.6833,86.0,30,40,8.23,MX,1619290921
Hamilton,39.1834,-84.5333,53.6,71,90,3.44,US,1619290750
Derzhavīnsk,51.1,66.3167,47.17,42,87,17.58,KZ,1619290921
Kudahuvadhoo,2.6708,72.8944,83.16,66,7,8.1,MV,1619290921
Arrondissement de Saint-Jean-de-Maurienne,45.1667,6.5833,60.01,61,62,1.01,FR,1619290921
Boueni,-12.9025,45.0761,82.4,78,90,3.44,YT,1619290922
Odienné,9.51,-7.5692,82.54,51,98,7.54,CI,1619290922
Ponta Delgada,37.7333,-25.6667,59.0,82,40,16.11,PT,1619290922
Kahului,20.8947,-156.47,71.6,100,40,12.66,US,1619290923
Baker City,44.7749,-117.8344,51.8,54,90,13.8,US,1619290923
Karratha,-20.7377,116.8463,78.82,35,0,8.25,AU,1619290923
Port Augusta,-32.5,137.7667,57.2,88,0,5.75,AU,1619290923
Ciudad Guayana,8.3533,-62.6528,90.0,59,85,4.0,VE,1619290924
Saint Paul Harbor,57.79,-152.4072,42.8,87,90,2.75,US,1619290924
Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,100,90,4.47,RU,1619290834
Port Hedland,-20.3167,118.5667,68.0,64,0,9.22,AU,1619290925
Carauari,-4.8828,-66.8958,82.18,87,99,2.21,BR,1619290925
